,Candidate_name,Hashtag,Tweets,Polarity
45715,Joe Biden,#VoteBidenHarrisToSaveAmerica,God bless Joe Biden and Kamala Harris I will be praying for their victory and our countries saving grace Please VOTE to save the U S A Thank you VoteBidenHarrisToSaveAmerica,Positive
18038,Joe Biden,#BlueWave2020,awww i love her BlueWave2020 Vote2020 VoteBidenHarrisToSaveAmerica,Positive
42105,Joe Biden,#VoteBidenHarris2020,bless America America ElectionDay2020 VoteBidenHarris2020 today TruthMatters,Positive
35999,Joe Biden,#VoteBiden,ha Tweet is misleading Vote2020 VOTE VoteBiden,Neutral
48795,Joe Biden,#VoteBidenHarrisToSaveAmerica,God help the U S A If Trump wins I am worried sick VoteBidenHarrisToSaveAmerica,Positive
33005,Joe Biden,#LyingTrump,I felt like I was living in a red state but 61 on us said NJ stays BLUE Good Bye to LyingTrump,Positive
64049,Joe Biden,#WisconsinForBiden,Gwan Wisconsin let it in ta fuck WisconsinForBiden Decision2020 BidenHarris2020 Ireland,Positive
64199,Joe Biden,#WisconsinForBiden,GOOD MORNINGGGG MAKE SURE YOU GoVote 2020Election Election2020 ELECTIONDAY BattlegroundState WisconsinForBiden PresidentialElection FlipTheSenateBlue,Neutral
10499,Joe Biden,#BidenHarris2020,Megan is absolutely right we should all keep busy tomorrow and help out our favorite candidate text for BidenHarris2020 make calls or all of these things VOTE FlipTheSenate and support great local candidates,Neutral
36018,Joe Biden,#VoteBiden,VoteBiden save America,Positive
60980,Joe Biden,#VoteHimOut,The American election is to democracy as Cricket is to sports It s very similar to all others but no one seems to know all the rules because the rules are fucking crazy and it takes days to declare a winner democracy VoteHimOut PresidentialElection BidenHarris2020,Neutral
49487,Joe Biden,#VoteBlue2020,This one is good VoteBlue2020 Election2020,Neutral
9082,Joe Biden,#BidenHarris2020,I m a Texan and my family and I early voted for BIDEN BidenHarris2020,Positive
50276,Joe Biden,#VoteBlueDownTheBallot,My 86 old momma ElectionDay Vote2020 VoteBidenHarris VotingLines VoteBlueDownTheBallot,Positive
5748,Joe Biden,#Biden2020,Young college educated voters up 5 compared with 2016 and non college educated down versus 2016 BreakingNews USElections2020 Trump2020 Biden2020 USElections2020 CorruptJoeBiden TrumpMeltdown,Neutral
25868,Joe Biden,#DumpTrump2020,Screw that guy I was educated by the same Catholic franchise as Sacred Heart but in Maryland Calling Pavoratti a diva was so wrong DumpTrump2020,Positive
50376,Joe Biden,#VoteBlueDownTheBallot,Idahoans look careful and think careful where is America after 4 years of Trump America is in an emergency state The country needs her children to save her from Trump s pain Idahoans VoteBidenHarrisToSaveAmerica VoteBlueDownTheBallot,Positive
439,Joe Biden, #BidenHarrisLandslide2020,The AP just called the election for Biden Woot BidenHarrisLandslide2020 BidenHarrisToEndThisNightmare LetsGetThisPartyStarted DemsAllDay,Positive
25254,Joe Biden,#DumpTrump2020,Xenophobe says what DumpTrump2020 BidenHarris2020,Positive
49281,Joe Biden,#VoteBidenHarrisToSaveAmerica,How stupid Nobody prepaid millions in taxes Moron Orange guy is going to jail VoteHimOut TrumpCrimeFamilyForPrison VoteBlueToEndTheNightmare VoteBidenHarrisToSaveAmerica VoteBlueDownTheBallot,Positive
47581,Joe Biden,#VoteBidenHarrisToSaveAmerica,Democracy needs to keep winning VoteBidenHarrisToSaveAmerica,Positive
16237,Joe Biden,#BidenHarrisToEndThisNightmare,1013 orze Anytime fellow Resister Thank you so much for following and retweeting BidenHarrisToEndThisNightmare,Neutral
58154,Joe Biden,#VoteHimOut,I also want a slice of that VoteHimOut pie DONT FORGET TO REGISTER PLS,Neutral
23403,Joe Biden,#DumpTrump2020,Seems everyone is in agreement DumpTrump2020 DumpTrump Trump,Positive
44320,Joe Biden,#VoteBidenHarris2020,2020 Election Forecast FiveThirtyEight VoteBidenHarris2020 VoteBlue,Neutral
2555,Joe Biden,#ArizonaforBiden,Call ArizonaforBiden,Neutral
24718,Joe Biden,#DumpTrump2020,DumpTrump2020 BidenHarris2020 Full Video gt spokenword KanyeWest COVID19,Neutral
44209,Joe Biden,#VoteBidenHarris2020,Make it happen VoteBidenHarris2020,Positive
35504,Joe Biden,#VoteBiden,I want to convey to you that such a sweet life will not last long and if you make the wrong choice then the structure of our state will not turn in our favor Vote2020 VoteTrump VoteBiden USAElections2020 russiandruids,Neutral
25719,Joe Biden,#DumpTrump2020,Should have put that much energy into saving Americans from the Coronavirus COVIDIOTS DumpTrump2020 Election2020,Positive
56938,Joe Biden,#VoteBlueToSaveAmerica2020,There is no one coming to save our democracy We are at the point we have been waiting for We cannot fail VoteBlueToEndTheNightmare VoteBlueToSaveAmerica2020 VoteBlueDownTheBallot,Positive
37703,Joe Biden,#VoteBiden,Yes him moving out of the WH will breat GREAT VoteBiden,Neutral
42574,Joe Biden,#VoteBidenHarris2020,Unbelievable that this is even necessary VoteBidenHarris2020 because the other candidate is UnfitToBePresident,Positive
17726,Joe Biden,#BlueWave2020,Went outside this morning looked into the sky and found this to be pretty symbolic BlueWave2020,Positive
16762,Joe Biden,#BidenHarrisToEndThisNightmare,FOLLOWING THE LAW IS DANGEROUS REALITY CHECK FOR AMERICA DON T BUY INTO THE RHETORIC AND DOG WHISTLE BULLSHIT FROM TRUMP BidenHarrisToEndThisNightmare,Positive
30573,Joe Biden,#JoeBiden2020,Going to bed May tomorrow morning brings JOEBIDEN2020,Positive
7408,Joe Biden,#Biden2020,Milano We Got You Lady Liberty VoteBlue2020 Biden2020,Positive
60025,Joe Biden,#VoteHimOut,Well you know what i ve been praying the same thing for 4 long years and my prayers are about to be answered VoteHimOut SaveTheWorld,Positive
47139,Joe Biden,#VoteBidenHarrisToSaveAmerica,1 day till ElectionDay Get out there and do your part and VOTE VoteBidenHarrisToSaveAmerica VoteBiden VotingMatters BlueWave2020 2020Election AmericaOrTrump YourVoiceIsYourVote BidenHarris2020,Positive
49929,Joe Biden,#VoteBlueDownTheBallot,Check this list of NINETEEN states amp DofC that have SAME DAY VOTER REGISTRATION Get in line get registered VoteBlueDownTheBallot CA CO CT DC HI ID IL IA ME MD MI MN MO NV NH UT VT WI WY WA,Neutral
15547,Joe Biden,#BidenHarrisToEndThisNightmare,It s no game our lives depend on VoteHimOut2020 VoteBidenHarris2020 BidenHarrisToEndThisNightmare,Positive
53165,Joe Biden,#VoteBlueDownTheBallot,Wishing you good luck today from NY VoteBlueDownTheBallot,Neutral
1869,Joe Biden, #BidenHarrisLandslide2020,What s the irony that trump spent years telling people you re fired and now it s his turn to be fired BidenHarrisLandslide2020,Positive
27669,Joe Biden,#JoeBiden2020,This is the equivalent of the 1999 and 2005 Champions League final games JOEBIDEN2020,Neutral
11894,Joe Biden,#BidenHarris2020,Really looking forward to a BidenHarris2020 win We really can change our country for the better Not everyone is on board but we can still do this,Positive
1968,Joe Biden, #BidenHarrisLandslide2020,OMG I WAKE UP AND BIDEN S FLIPPED PENNSYLVANIA AND GEORGIA BlueWave2020 Elections2020 BidenHarrisLandslide2020,Neutral
14070,Joe Biden,#BidenHarrisToEndThisNightmare,PLEASE VOTE BLUE PLEASE OUR LIVELIHOODS ARE ON THE LINE BidenHarris2020ToSaveAmerica TrumpIsALoser BidenHarris2020 BidenHarrisToEndThisNightmare PLEASE,Positive
49068,Joe Biden,#VoteBidenHarrisToSaveAmerica,From someone who is definitely not OK I totally appreciate this post VoteBlueToEndTheNightmare VoteHimOut VoteBidenHarrisToSaveAmerica VOTE,Neutral
49885,Joe Biden,#VoteBlueDownTheBallot,says we re gonna be fine amp to put away the razor blades amp the Ambien VoteBlueDownTheBallot,Positive
5672,Joe Biden,#Biden2020,Biden2020 Will win like if u think he will win,Positive
23393,Joe Biden,#DumpTrump2020,It s not about him DumpTrump2020,Neutral
58331,Joe Biden,#VoteHimOut,And just like that America is Great Again VoteHimOut BidenHarris2020 BidenHarrisToEndThisNightmare jemelehill KamalaHarris JoeBiden,Neutral
13446,Joe Biden,#BidenHarrisToEndThisNightmare,Vote2020 like your life depends on it because it does ElectionDay2020 BidenHarris2020 BlueWave VoteBlueDownTheBallot DumpTrump accountability ScienceMatters BidenHarrisToEndThisNightmare,Positive
24809,Joe Biden,#DumpTrump2020,Tomorrow is the big voting day Please vote Trump out DumpTrump2020 2020Elections,Neutral
