,Candidate_name,Hashtag,Tweets,Polarity
18050,Donald Trump,#MAGA,Find out when and where your local StopTheSteal rally is MAGA MAGA2020,Neutral
3082,Donald Trump,#4MoreYears,BAN THE MAIL IN BALLOTS MailInBallots Election2020 ElectionResults2020 Elections2020 TrumpvsBiden TrumpIsLosing TrumpMeltdown GUY2020 4MoreYears STOPTHECOUNT 2020Election VOTE elections,Positive
19683,Donald Trump,#redwave,Very glad to see that we are starting to understand that visuals matter But we also need to remember that half of this country voted for a RedWave Blood red More guns More division More Covid We Have So Much Work To Do,Positive
22143,Donald Trump,#redwave,the guy calling the shots on calling the states is a fool Can t call Florida but you can call Virginia RedWave,Neutral
17627,Donald Trump,#MAGA,Nothing can STOP what is coming Nothing StopTheSteal MAGA Trump4EVER Restart opposition,Positive
22335,Donald Trump,#redwave,He s here trump2020landslide TrumpGirl redwave victory patriotsrise americanpride GodBlessTheUSA,Positive
18816,Donald Trump,#RedTsunami,NO WE ARE NOT TRUMP2020 REDTSUNAMI,Negative
67978,Donald Trump,#VoteRed,Make sure you get out and vote it s your giving right If you stay home and don t vote sit down and shut up Trump2020 VoteRed,Positive
17245,Donald Trump,#MAGA,Contrary to popular belief a lot of Bisexuals find Trump attractive due to the fact that he s both a man and a giant pussy MAGA,Neutral
42482,Donald Trump,#Trump2020LandslideVictory,Trump2020LandslideVictory Economy Energy Law amp Order Prison Reform Foreign Policy China Policy Destroying Isis Califate Peace in the Middle East DEMOCRATS spent all their time scheming to destroy Donald Trump Fake Russia Hoak Fake Impeachment lies and smears,Positive
74092,Donald Trump,#VoteRedToSaveAmerica,PA Vote 4 because he will do what s right by u He will help make our state better VoteRedLikeYourLifeDependsOnIt VoteRedToSaveAmerica VoteTrump2020,Positive
45119,Donald Trump,#Trump2020LandslideVictory,My election prediction Let s see how it turns out Trump2020LandslideVictory Kanye2020 KanyeWest kanyeforpresident BidenHarris2020 BidenHarris BidenCrimeFamiIy BidenHarris2020ToSaveAmerica BidenHarris TrumpMeltdown TRUMP2020Landside ElectionDay Election2020,Positive
21796,Donald Trump,#redwave,It s the RedWave Piers,Positive
53008,Donald Trump,#TrumpPence2020,How long do you think it will take to drop their call for unity after President is reelected MAGA KAG DefendElectionIntegrity forlife forliberty Trump Trump2020 TrumpPence2020 LegalVotesMatter,Positive
